Master_SKU,Original_Category,Amazon Cat,Remark,Cost,MRP,Uniware,FBA,Sjit,FBF,Launch Date,LOC,Cost into %,Cost after %,Return Charge,GST on Return,Final TP,Required Selling Price,Selected Price Range,Selected Fixed Fee Range,Commission %,Commission Amount,Fixed Closing Fee,FBA Pick Pack,Technology Fee,Full Shipping Fee,WHF % On Shipping,Shipping Fee Charged,Total Charges,Final Value After Charges,Sett Acc Panel,Net Profit On SP,Net Profit % On SP,Net Profit % On TP,Old Daily SP,Old Deal SP
JOPLVSRW5118-3XL,Rw Salwar Suit,Apparel - Ethnic Wear,Closed,275.0,2663.0,0.0,0.0,0.0,0.0,3-Sep-24,Surat,23.0,357.14285714285717,59.0,10.62,426.7628571428572,497,300-500,250-500,1.0,4.97,20.0,20.0,13.0,30.0,40.0,12.0,69.97,426.76,427.03,82.40999999999997,16.581488933601605,19.310490268934895,599.0,569.05
JOPLST249-XL,Skd-St,Apparel - Ethnic Wear,Closed,495.0,4330.0,1.0,0.0,0.0,0.0,9-Oct-24,Surat,23.0,642.8571428571429,59.0,10.62,712.4771428571429,869,500-1000,500-1000,10.0,86.94,20.0,20.0,14.0,40.0,40.0,16.0,156.94,712.48,712.06,147.43999999999994,16.966628308400452,20.6939972009127,1249.0,1187.0
JOPLJPR724-XS,Cotton Top,Apparel - Other products,Closed,250.0,2330.0,1.0,0.0,0.0,0.0,25-Sep-23,Jaipur,23.0,324.6753246753247,59.0,10.62,394.2953246753247,483,300-500,250-500,5.0,24.17,20.0,20.0,13.0,30.0,40.0,12.0,89.17,394.3,393.83,74.20999999999998,15.364389233954448,18.82091806721443,499.0,475.0
JOPLMSFRTW1509C-3XL,Rtw,Apparel - Ethnic Wear,Closed,690.0,4665.0,0.0,0.0,0.0,0.0,9-Nov-23,Surat,23.0,896.1038961038962,59.0,10.62,965.7238961038962,1251,>1000,>1000,16.0,200.14,25.0,25.0,15.0,50.0,40.0,20.0,285.14,965.72,965.86,206.24,16.48601119104716,21.35600049165729,999.0,949.05
JOPLJPR351-XS,"Dress 42 """,Apparel - Dress,Platinum C,274.0,2663.0,42.0,0.0,0.0,0.0,6-May-25,Jaipur,23.0,355.84415584415586,59.0,10.62,425.46415584415587,533,500-1000,500-1000,7.0,37.29,20.0,20.0,14.0,40.0,40.0,16.0,107.29,425.46,425.71,82.08999999999997,15.401500938086299,19.294222291682047,699.0,664.05
JOPLST279-M,SKD-ST,Apparel - Ethnic Wear,New Listing,0.0,0.0,0.0,0.0,0.0,0.0,30-Apr-26,Surat,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,0.0,0.0
JOPLVL292-M,Skd-Jpr,Apparel - Ethnic Wear,Closed,658.0,4996.0,0.0,0.0,0.0,0.0,18-Oct-22,Jaipur,23.0,854.5454545454547,59.0,10.62,924.1654545454547,1201,>1000,>1000,16.0,192.22,25.0,25.0,15.0,50.0,40.0,20.0,277.22,924.17,923.78,196.15999999999997,16.333055786844294,21.225636495629463,1249.0,1199.0
JOPLJPR4039-L,Tunics-Jpr,Apparel - Other products,Closed,220.0,2330.0,0.0,0.0,0.0,0.0,12-Jun-24,Jaipur,23.0,285.7142857142857,59.0,10.62,355.3342857142857,442,300-500,250-500,5.0,22.12,20.0,20.0,13.0,30.0,40.0,12.0,87.12,355.33,354.88,65.25999999999999,14.764705882352938,18.36580443365201,499.0,475.0
JOPLJPR846-S,Skd-Jpr,Apparel - Ethnic Wear,Closed,820.0,6650.0,0.0,0.0,0.0,0.0,27-May-24,Jaipur,23.0,1064.935064935065,59.0,10.62,1134.5550649350648,1452,>1000,>1000,16.0,232.3,25.0,25.0,15.0,50.0,40.0,20.0,317.3,1134.56,1134.7,245.08000000000015,16.87878787878789,21.60141958504474,1577.0,1499.0
ROLY07B-XS,Western Top,Apparel - Other products,Closed,200.0,1996.0,44.0,0.0,0.0,0.0,28-Apr-22,Surat,23.0,259.7402597402597,59.0,10.62,329.3602597402597,415,300-500,250-500,5.0,20.76,20.0,20.0,13.0,30.0,40.0,12.0,85.76,329.36,329.24,59.620000000000005,14.366265060240965,18.101758860348717,399.0,369.0
