Master SKU,MRP,Cost,Wholesale Price,Catalog Name,Up Price,Launch Date
JOPLAI1001D,1497,260,260,,350,25-Sep-20
JOPLCS107-L,3318,376,464,Jiana,580,11-Apr-24
JOPLCS107-M,3318,376,464,Jiana,580,11-Apr-24
JOPLCS107-S,3318,376,464,Jiana,580,11-Apr-24
JOPLCS107-XL,3318,376,464,Jiana,580,11-Apr-24
JOPLCS107-XS,3318,376,464,Jiana,580,11-Apr-24
JOPLCS107-XXL,3318,376,464,Jiana,580,11-Apr-24
JOPLCS108-L,3318,315,464,Jiana,580,11-Apr-24
JOPLCS108-M,3318,315,464,Jiana,580,11-Apr-24
JOPLCS108-S,3318,315,464,Jiana,580,11-Apr-24
JOPLCS108-XL,3318,315,464,Jiana,580,11-Apr-24
JOPLCS108-XS,3318,315,464,Jiana,580,11-Apr-24
JOPLCS108-XXL,3318,315,464,Jiana,580,11-Apr-24
JOPLCS109-L,3318,376,464,Jiana,580,11-Apr-24
JOPLCS109-M,3318,376,464,Jiana,580,11-Apr-24
JOPLCS109-S,3318,376,464,Jiana,580,11-Apr-24
JOPLCS109-XL,3318,376,464,Jiana,580,11-Apr-24
JOPLCS109-XS,3318,376,464,Jiana,580,11-Apr-24
JOPLCS109-XXL,3318,376,476,Jiana,580,11-Apr-24
JOPLCS110-L,3318,318,398,Jiana,580,11-Apr-24
JOPLCS110-M,3318,318,398,Jiana,580,11-Apr-24
JOPLCS110-S,3318,318,398,Jiana,580,11-Apr-24
JOPLCS110-XL,3318,318,398,Jiana,580,11-Apr-24
JOPLCS110-XS,3318,318,398,Jiana,580,11-Apr-24
JOPLCS110-XXL,3318,318,398,Jiana,580,11-Apr-24
JOPLCS111-L,3318,410,464,Jiana,580,24-Sep-24
JOPLCS111-M,3318,410,464,Jiana,580,24-Sep-24
JOPLCS111-S,3318,410,464,Jiana,580,24-Sep-24
JOPLCS111-XL,3318,410,464,Jiana,580,24-Sep-24
JOPLCS111-XS,3318,410,464,Jiana,580,24-Sep-24
JOPLCS111-XXL,3318,410,464,Jiana,580,24-Sep-24
JOPLCS112-L,3318,364,464,Jiana,580,11-Apr-24
JOPLCS112-M,3318,364,464,Jiana,580,11-Apr-24
JOPLCS112-S,3318,364,464,Jiana,580,11-Apr-24
JOPLCS112-XL,3318,364,464,Jiana,580,11-Apr-24
JOPLCS112-XS,3318,364,464,Jiana,580,11-Apr-24
JOPLCS112-XXL,3318,364,464,Jiana,580,11-Apr-24
JOPLCS113-L,3318,360,464,Jiana,580,13-Jan-25
