Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR509-M,JOPLJPR509,M,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLVSM4235,JOPLVSM4235,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR159E-S,JOPLJPR159E,S,Kurta-Jpr,Jaipur,New Listing,Platinum C,Live
JOPLVSRW4093-6XL,JOPLVSRW4093,6XL,Rw Salwar Suit,Surat,Platinum B,Platinum A,Live
JOPLVSRW1164-5XL,JOPLVSRW1164,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW1163-XXL,JOPLVSRW1163,XXL,Rw Salwar Suit,Surat,Platinum C,Slow Moving,Live
JOPLJPR767-XS,JOPLJPR767,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR850-XXL,JOPLJPR850,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL102-L,JOPLVL102,L,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR773-L,JOPLJPR773,L,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM4282,JOPLVSM4282,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR7002-L,JOPLJPR7002,L,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL305-XL,JOPLVL305,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST15-XXL,JOPLST15,XXL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR862-M,JOPLJPR862,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4023-M,JOPLJPR4023,M,Tunics-Jpr,Jaipur,Closed,Closed,Closed
VRY05-S,VRY05,S,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLST242-XXL,JOPLST242,XXL,Skd-St,Surat,Diamond C,Platinum A,Live
JOPLVL202-5XL,JOPLVL202,5XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL212-4XL,JOPLVL212,4XL,Skd-Jpr,Jaipur,Diamond C,Diamond C,Live
JOPLVSRW4114-8XL,JOPLVSRW4114,8XL,Rw Salwar Suit,Surat,Platinum B,Diamond C,Live
JOPLJPR4010-XXL,JOPLJPR4010,XXL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVL241A-3XL,JOPLVL241A,3XL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR102-XXL,JOPLJPR102,XXL,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR721-S,JOPLJPR721,S,Cotton Top,Jaipur,Closed,Closed,Closed
