Master SKU,Style ID / Parent SKU,Size,Category,Location,Cost,Wholesale Price,Catalog Name,Up Price,Uniware Stock,FBA,FBF,SJIT,Launch Date
JOPLAI1001D,JOPLAI1001D,Free,Saree,Surat,,,,,661,2,0,95,
JOPLCS107-L,JOPLCS107,L,Cord Set,Jaipur,,,,,24,1,1,34,
JOPLCS107-M,JOPLCS107,M,Cord Set,Jaipur,,,,,26,6,0,7,
JOPLCS107-S,JOPLCS107,S,Cord Set,Jaipur,,,,,11,0,7,3,
JOPLCS107-XL,JOPLCS107,XL,Cord Set,Jaipur,,,,,14,16,0,4,
JOPLCS107-XS,JOPLCS107,XS,Cord Set,Jaipur,,,,,22,1,21,1,
JOPLCS107-XXL,JOPLCS107,XXL,Cord Set,Jaipur,,,,,27,2,0,40,
JOPLCS108-L,JOPLCS108,L,Cord Set,Jaipur,,,,,38,1,7,36,
JOPLCS108-M,JOPLCS108,M,Cord Set,Jaipur,,,,,22,6,6,1,
JOPLCS108-S,JOPLCS108,S,Cord Set,Jaipur,,,,,27,5,4,1,
JOPLCS108-XL,JOPLCS108,XL,Cord Set,Jaipur,,,,,33,1,2,6,
JOPLCS108-XS,JOPLCS108,XS,Cord Set,Jaipur,,,,,36,1,0,19,
JOPLCS108-XXL,JOPLCS108,XXL,Cord Set,Jaipur,,,,,57,3,4,3,
JOPLCS109-L,JOPLCS109,L,Cord Set,Jaipur,,,,,25,8,4,1,
JOPLCS109-M,JOPLCS109,M,Cord Set,Jaipur,,,,,17,1,0,9,
JOPLCS109-S,JOPLCS109,S,Cord Set,Jaipur,,,,,26,2,1,2,
JOPLCS109-XL,JOPLCS109,XL,Cord Set,Jaipur,,,,,11,3,1,1,
JOPLCS109-XS,JOPLCS109,XS,Cord Set,Jaipur,,,,,21,3,0,48,
JOPLCS109-XXL,JOPLCS109,XXL,Cord Set,Jaipur,,,,,28,10,0,3,
JOPLCS110-L,JOPLCS110,L,Cord Set,Jaipur,,,,,11,1,1,2,
JOPLCS110-M,JOPLCS110,M,Cord Set,Jaipur,,,,,8,4,1,1,
JOPLCS110-S,JOPLCS110,S,Cord Set,Jaipur,,,,,23,1,13,38,
JOPLCS110-XL,JOPLCS110,XL,Cord Set,Jaipur,,,,,11,3,7,1,
JOPLCS110-XS,JOPLCS110,XS,Cord Set,Jaipur,,,,,18,5,17,5,
JOPLCS110-XXL,JOPLCS110,XXL,Cord Set,Jaipur,,,,,16,12,6,1,
JOPLCS111-L,JOPLCS111,L,Cord Set,Jaipur,,,,,27,2,11,67,
JOPLCS111-M,JOPLCS111,M,Cord Set,Jaipur,,,,,23,12,9,1,
JOPLCS111-S,JOPLCS111,S,Cord Set,Jaipur,,,,,44,3,1,15,
JOPLCS111-XL,JOPLCS111,XL,Cord Set,Jaipur,,,,,19,1,0,72,
JOPLCS111-XS,JOPLCS111,XS,Cord Set,Jaipur,,,,,41,3,0,1,
JOPLCS111-XXL,JOPLCS111,XXL,Cord Set,Jaipur,,,,,29,1,1,12,
JOPLCS112-L,JOPLCS112,L,Cord Set,Jaipur,,,,,24,1,4,1,
JOPLCS112-M,JOPLCS112,M,Cord Set,Jaipur,,,,,9,2,0,3,
JOPLCS112-S,JOPLCS112,S,Cord Set,Jaipur,,,,,,,,,
JOPLCS112-XL,JOPLCS112,XL,Cord Set,Jaipur,,,,,26,2,2,3,
JOPLCS112-XS,JOPLCS112,XS,Cord Set,Jaipur,,,,,19,2,2,1,
JOPLCS112-XXL,JOPLCS112,XXL,Cord Set,Jaipur,,,,,31,3,6,8,
JOPLCS113-L,JOPLCS113,L,Cord Set,Jaipur,,,,,36,3,3,2,
JOPLCS113-M,JOPLCS113,M,Cord Set,Jaipur,,,,,3,4,1,4,
JOPLCS113-S,JOPLCS113,S,Cord Set,Jaipur,,,,,42,2,4,14,
JOPLCS113-XL,JOPLCS113,XL,Cord Set,Jaipur,,,,,46,1,4,1,
JOPLCS113-XS,JOPLCS113,XS,Cord Set,Jaipur,,,,,37,7,0,1,
JOPLCS113-XXL,JOPLCS113,XXL,Cord Set,Jaipur,,,,,26,0,6,1,
JOPLDI1019,JOPLDI1019,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1020,JOPLDI1020,Free,Dress Material,Surat,,,,,9,1,0,4,
JOPLDI1021,JOPLDI1021,Free,Dress Material,Surat,,,,,114,9,0,1,
JOPLDI1022,JOPLDI1022,Free,Dress Material,Surat,,,,,57,1,4,2,
JOPLDI1024,JOPLDI1024,Free,Dress Material,Surat,,,,,53,4,0,48,
JOPLDI1025,JOPLDI1025,Free,Dress Material,Surat,,,,,41,2,1,13,
JOPLDI1026,JOPLDI1026,Free,Dress Material,Surat,,,,,15,3,0,31,
JOPLDI1028,JOPLDI1028,Free,Dress Material,Surat,,,,,14,4,4,9,
JOPLDI1032,JOPLDI1032,Free,Dress Material,Surat,,,,,73,2,0,1,
JOPLDI1033,JOPLDI1033,Free,Dress Material,Surat,,,,,26,8,0,52,
JOPLDI1038,JOPLDI1038,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1040,JOPLDI1040,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1042,JOPLDI1042,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1045,JOPLDI1045,Free,Dress Material,Surat,,,,,71,2,4,10,
JOPLDI1052,JOPLDI1052,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1063,JOPLDI1063,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1068,JOPLDI1068,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1069,JOPLDI1069,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1072,JOPLDI1072,Free,Dress Material,Surat,,,,,,,,,
JOPLJPR10-3XL,JOPLJPR10,3XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-4XL,JOPLJPR10,4XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-5XL,JOPLJPR10,5XL,Kurta-Jpr,Jaipur,,,,,1,5,7,3,
JOPLJPR10-6XL,JOPLJPR10,6XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-L,JOPLJPR10,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-M,JOPLJPR10,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-S,JOPLJPR10,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-XL,JOPLJPR10,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-XXL,JOPLJPR10,XXL,Kurta-Jpr,Jaipur,,,,,30,1,1,43,
JOPLJPR138-L,JOPLJPR138,L,"Dress 46""",Jaipur,,,,,189,4,9,1,
JOPLJPR138-M,JOPLJPR138,M,"Dress 46""",Jaipur,,,,,59,1,2,16,
JOPLJPR138-S,JOPLJPR138,S,"Dress 46""",Jaipur,,,,,245,1,1,12,
JOPLJPR138-XL,JOPLJPR138,XL,"Dress 46""",Jaipur,,,,,63,5,2,20,
JOPLJPR138-XXL,JOPLJPR138,XXL,"Dress 46""",Jaipur,,,,,75,5,8,2,
JOPLJPR139-L,JOPLJPR139,L,"Dress 46""",Jaipur,,,,,1,50,6,8,
JOPLJPR139-M,JOPLJPR139,M,"Dress 46""",Jaipur,,,,,6,10,2,11,
JOPLJPR139-S,JOPLJPR139,S,"Dress 46""",Jaipur,,,,,6,35,2,3,
JOPLJPR139-XL,JOPLJPR139,XL,"Dress 46""",Jaipur,,,,,1,5,0,63,
JOPLJPR139-XXL,JOPLJPR139,XXL,"Dress 46""",Jaipur,,,,,4,1,5,1,
JOPLJPR140-L,JOPLJPR140,L,"Dress 46""",Jaipur,,,,,11,2,0,1,
JOPLJPR140-M,JOPLJPR140,M,"Dress 46""",Jaipur,,,,,2,1,0,3,
JOPLJPR140-S,JOPLJPR140,S,"Dress 46""",Jaipur,,,,,30,12,5,1,
JOPLJPR140-XL,JOPLJPR140,XL,"Dress 46""",Jaipur,,,,,14,1,8,11,
JOPLJPR140-XXL,JOPLJPR140,XXL,"Dress 46""",Jaipur,,,,,6,1,6,3,
JOPLJPR145A-L,JOPLJPR145A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-M,JOPLJPR145A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-S,JOPLJPR145A,S,Kurta-Jpr,Jaipur,,,,,0,2,3,7,
JOPLJPR145A-XL,JOPLJPR145A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-XXL,JOPLJPR145A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-L,JOPLJPR145B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-M,JOPLJPR145B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-S,JOPLJPR145B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-XL,JOPLJPR145B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-XXL,JOPLJPR145B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-L,JOPLJPR145C,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-M,JOPLJPR145C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-S,JOPLJPR145C,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-XL,JOPLJPR145C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-XXL,JOPLJPR145C,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-L,JOPLJPR146A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-M,JOPLJPR146A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-S,JOPLJPR146A,S,Kurta-Jpr,Jaipur,,,,,4,1,7,1,
JOPLJPR146A-XL,JOPLJPR146A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-XXL,JOPLJPR146A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-L,JOPLJPR146B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-M,JOPLJPR146B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-S,JOPLJPR146B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-XL,JOPLJPR146B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-XXL,JOPLJPR146B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-L,JOPLJPR147A,L,Kurta-Jpr,Jaipur,,,,,1,1,4,1,
JOPLJPR147A-M,JOPLJPR147A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-S,JOPLJPR147A,S,Kurta-Jpr,Jaipur,,,,,2,1,2,1,
JOPLJPR147A-XL,JOPLJPR147A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-XXL,JOPLJPR147A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-L,JOPLJPR147B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-M,JOPLJPR147B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-S,JOPLJPR147B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-XL,JOPLJPR147B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-XXL,JOPLJPR147B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-L,JOPLJPR147C,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-M,JOPLJPR147C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-S,JOPLJPR147C,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-XL,JOPLJPR147C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-XXL,JOPLJPR147C,XXL,Kurta-Jpr,Jaipur,,,,,0,1,1,3,
JOPLJPR148A-L,JOPLJPR148A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148A-M,JOPLJPR148A,M,Kurta-Jpr,Jaipur,,,,,0,4,10,1,
JOPLJPR148A-S,JOPLJPR148A,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148A-XL,JOPLJPR148A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
