uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
BL6197GREEN0426-XL,12,uni,0,pASTE hERE :-,0,JOPLST268-L,1
BL6197GREEN0426-XXL,11,JOPLVSRW4292-3XL,5,JOPLLTRW2015-XXL,28,JOPLJPR513-XXL,1
BL6197MAROON0426-XL,10,JOPLLTRW2015-6XL,1,JOPLPDPRW1058-6XL,10,JOPLLTRW2013-L,7
BL6197MAROON0426-XXL,9,JOPLLTRW2017-7XL,15,JOPLVL212-M,1,JOPLPDPRW1058-XXL,56
BL6197PINK0426-XL,10,JOPLVSMRW3988-XXL,11,JOPLVSMRW3988-L,53,JOPLJPR713-S,14
BL6197PINK0426-XXL,4,JOPLLTRW2015-10XL,1,JOPLPDPRW1058-3XL,20,JOPLVSRW1013-9XL,2
BL6197RED0426-XL,10,JOPLLTRW2017-XXL,20,JOPLLTRW2015-L,7,JOPLLTRW2007-M,3
BL6197RED0426-XXL,10,JOPLPDPRW1058-7XL,6,JOPLVSRW4147-XXL,29,JOPLVSRW4290-5XL,1
BL6197WHITE0426-XL,11,JOPLVSMRW3988-3XL,6,Not Found,234,JOPLST218-4XL,43
BL6197WHITE0426-XXL,10,JOPLVSRW4005-9XL,7,JOPLVSRW4292-XXL,8,JOPLLTRW2016-6XL,3
BL6207BLUE0426-XL,9,JOPLVSRW4147-XXL,29,JOPLPDPRW1058-M,27,JOPLJPR752-M,2
BL6207BLUE0426-XXL,10,JOPLVSRW4005-6XL,7,JOPLVSRW4292-M,1,JOPLVSRW4005-5XL,32
BL6207BROWN0426-XL,10,JOPLVSRW4147-10XL,6,JOPLPDPRW1058-XXL,49,JOPLVSRW4147-L,20
BL6207BROWN0426-XXL,10,JOPLST218-M,28,JOPLST243-5XL,0,JOPLJPR69C-4XL,4
BL6207GREEN0426-XL,10,JOPLST218-3XL,28,JOPLVSMRW3988-XXL,48,JOPLJPR708-XS,1
BL6207GREEN0426-XXL,10,JOPLST218-6XL,66,JOPLVSMRW5149-3XL,7,JOPLVSRW4005-6XL,45
BL6207MAROON0426-XL,10,JOPLST218-XL,118,JOPLVSRW4147-5XL,21,JOPLJPR753-S,2
BL6207MAROON0426-XXL,10,JOPLST218-4XL,9,JOPLPDPRW1058-5XL,5,JOPLVSRW4005-10XL,27
BL6207PINK0426-XL,10,JOPLJPR308-XXL,1,JOPLST243-6XL,0,JOPLVSRW4147-4XL,66
BL6207PINK0426-XXL,10,JOPLVSRW4114-3XL,18,JOPLST218-XL,7,JOPLLTRW2017-9XL,31
BL6207RED0426-XL,10,JOPLPDPRW1006-XXL,8,JOPLPDPRW1058-7XL,12,JOPLLTRW2017-XL,40
BL6207RED0426-XXL,10,JOPLLTRW2007-4XL,5,JOPLLTRW2007-XXL,24,JOPLVSRW4292-4XL,14
BL6207ROSEPINK0426-XL,7,JOPLLTRW2007-7XL,5,JOPLVSMRW3988-3XL,10,JOPLPDPRW1058-8XL,1
BL6207ROSEPINK0426-XXL,13,JOPLVSRW4079-XXL,4,JOPLLTRW2017-M,30,JOPLST218-L,132
BL6207WHITE0426-XL,10,JOPLVSRW4114-XXL,10,JOPLST243-3XL,13,JOPLVSRW4005-3XL,31
BL6207WHITE0426-XXL,10,JOPLLTRW2007-9XL,1,JOPLLTRW2015-XL,29,JOPLVSMRW4250-6XL,31
BL6207WINE0426-XL,10,JOPLVSRW4096-XXL,15,JOPLST270-L,1,JOPLLTRW2017-5XL,60
BL6207WINE0426-XXL,10,Not Found,24,JOPLVSRW4005-5XL,30,JOPLJPR740-L,4
BL6208GREEN0426-XL,10,JOPLVSMRW5160-XXL,6,JOPLLTRW2017-3XL,17,JOPLJPR109-XXL,1
BL6208GREEN0426-XXL,7,JOPLVSRW4114-6XL,1,JOPLVSRW4005-3XL,27,JOPLJPR786-XXL,1
BL6208MAROON0426-XL,3,JOPLLTRW2016-6XL,1,JOPLPDPRW1058-L,68,JOPLVSRW5205-3XL,3
BL6208MAROON0426-XXL,9,JOPLLTRW2007-XXL,11,JOPLST243-XXL,25,JOPLVSRW4082-5XL,8
BL6208PISTA0426-XL,10,JOPLVSRW4096-8XL,4,JOPLJPR742-M,5,JOPLVSMRW5156-6XL,2
BL6208PISTA0426-XXL,9,JOPLVSRW4114-10XL,1,JOPLVSRW4005-4XL,47,JOPLJPR10-S,3
BL6208PURPLE0426-XL,5,JOPLVSRW4093-XXL,30,JOPLPDPRW1058-S,34,JOPLJPR10-L,5
BL6208PURPLE0426-XXL,10,JOPLLTRW2007-3XL,13,JOPLLTRW2017-S,6,JOPLVSRW5202-4XL,1
BL6208RED0426-XL,10,JOPLVSRW4079-5XL,3,JOPLLTRW2017-4XL,22,JOPLJPR4034-M,2
BL6208RED0426-XXL,3,JOPLPDPRW1006-3XL,7,JOPLST243-4XL,12,JOPLJPR742-L,34
BL6208WHITE0426-XL,12,JOPLVSRW4286-XXL,4,JOPLST243-XL,1,JOPLJPR740-XS,17
BL6208WHITE0426-XXL,6,JOPLVSRW4031-3XL,10,JOPLVSRW4147-XL,10,JOPLLTRW2015-8XL,19
BL6208YELLOW0426-XL,3,JOPLLTRW2007-5XL,6,JOPLVSRW4147-L,18,JOPLJPR43-L,14
BL6208YELLOW0426-XXL,7,JOPLLTRW2007-6XL,1,JOPLVSMRW3988-XL,81,JOPLJPR43-XXL,42
BL6213BEIGE0426-XL,10,JOPLVSRW4002-3XL,3,JOPLVSRW5172-M,7,JOPLJPR713-M,12
BL6213BEIGE0426-XXL,10,JOPLLTRW2007-10XL,5,JOPLJPR10-XL,19,JOPLVL245-XL,18
BL6213BLACK0426-XL,10,JOPLVSRW4031-9XL,1,JOPLVSRW5172-XXL,26,JOPLVSMRW4250-3XL,22
BL6213BLACK0426-XXL,10,JOPLJPR7006-S,1,JOPLVSMRW3988-M,75,JOPLJPR347-XL,1
BL6213BROWN0426-XL,10,JOPLJPR4052-3XL,2,JOPLVSRW4292-7XL,2,JOPLLTRW2017-10XL,25
BL6213BROWN0426-XXL,10,JOPLST242-3XL,1,JOPLVSRW4005-7XL,21,JOPLLTRW2016-3XL,2
BL6213GREEN0426-XL,10,JOPLST242-5XL,7,JOPLPDPRW1058-XL,123,JOPLLTRW2016-4XL,3
BL6213GREEN0426-XXL,10,JOPLJPR7006-XL,3,JOPLPDPRW1058-4XL,59,JOPLLTRW2017-4XL,92
BL6213MAROON0426-XL,10,JOPLJPR7006-XXL,2,JOPLST243-S,1,JOPLVSMRW4250-9XL,1
BL6213MAROON0426-XXL,10,JOPLJPR513-XXL,30,JOPLVSMRW3988-4XL,22,JOPLLTRW2017-XXL,15
BL6213PEACH0426-XL,10,JOPLJPR513-XL,26,JOPLVSMRW3988-5XL,11,JOPLPDPRW1058-S,40
BL6213PEACH0426-XXL,10,JOPLJPR513-M,4,JOPLVSRW4147-4XL,11,JOPLJPR757-S,13
BL6213PINK0426-XL,10,JOPLJPR513-S,8,JOPLJPR518-XXL,4,JOPLVSRW4147-5XL,27
BL6213PINK0426-XXL,10,JOPLJPR513-L,2,JOPLLTRW2017-XL,22,JOPLVSRW4147-7XL,7
BL6213RED0426-XL,10,JOPLVSRW1163-9XL,9,JOPLLTRW2007-XL,4,JOPLVSRW5202-6XL,1
BL6213RED0426-XXL,10,JOPLVSRW1163-8XL,3,JOPLVSRW5202-XXL,0,JOPLVSRW4147-3XL,72
BL6213ROSEPINK0426-XL,10,JOPLVSRW5171-9XL,4,JOPLLTRW2017-XXL,56,JOPLPDPRW1058-4XL,9
BL6213ROSEPINK0426-XXL,10,JOPLJPR734-XL,1,JOPLJPR10-S,3,JOPLST201-XL,19
BL6213TEAL0426-XL,10,JOPLJPR7007-L,8,JOPLST243-L,1,JOPLLTRW2018-L,6
