,,,,,,,,,,,,,,,,,,
,,Master SKU,Style ID / Parent SKU,Size,Category,Loc,ST CS,Wholesale Price,Catalog Name,Up Price,Uniware Stock,FBA,FBF,SJIT,Launch Date,Manual Close / New,Child Remark,Parent Remark
,,JOPLAI1001D,JOPLAI1001D,Free,Saree,Surat,260,260,,350,625,1,5,0,########,,Diamond A,Diamond A
,,JOPLCS107-L,JOPLCS107,L,Cord Set,Jaipur,376,464,Jiana,580,23,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS107-M,JOPLCS107,M,Cord Set,Jaipur,376,464,Jiana,580,28,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS107-S,JOPLCS107,S,Cord Set,Jaipur,376,464,Jiana,580,10,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS107-XL,JOPLCS107,XL,Cord Set,Jaipur,376,464,Jiana,580,12,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS107-XS,JOPLCS107,XS,Cord Set,Jaipur,376,464,Jiana,580,22,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS107-XXL,JOPLCS107,XXL,Cord Set,Jaipur,376,464,Jiana,580,30,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-L,JOPLCS108,L,Cord Set,Jaipur,315,464,Jiana,580,36,1,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-M,JOPLCS108,M,Cord Set,Jaipur,315,464,Jiana,580,19,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-S,JOPLCS108,S,Cord Set,Jaipur,315,464,Jiana,580,32,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-XL,JOPLCS108,XL,Cord Set,Jaipur,315,464,Jiana,580,32,3,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-XS,JOPLCS108,XS,Cord Set,Jaipur,315,464,Jiana,580,36,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS108-XXL,JOPLCS108,XXL,Cord Set,Jaipur,315,464,Jiana,580,56,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-L,JOPLCS109,L,Cord Set,Jaipur,376,464,Jiana,580,23,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-M,JOPLCS109,M,Cord Set,Jaipur,376,464,Jiana,580,16,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-S,JOPLCS109,S,Cord Set,Jaipur,376,464,Jiana,580,28,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-XL,JOPLCS109,XL,Cord Set,Jaipur,376,464,Jiana,580,10,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-XS,JOPLCS109,XS,Cord Set,Jaipur,376,464,Jiana,580,21,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS109-XXL,JOPLCS109,XXL,Cord Set,Jaipur,376,476,Jiana,580,26,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-L,JOPLCS110,L,Cord Set,Jaipur,318,398,Jiana,580,9,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-M,JOPLCS110,M,Cord Set,Jaipur,318,398,Jiana,580,3,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-S,JOPLCS110,S,Cord Set,Jaipur,318,398,Jiana,580,22,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-XL,JOPLCS110,XL,Cord Set,Jaipur,318,398,Jiana,580,9,1,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-XS,JOPLCS110,XS,Cord Set,Jaipur,318,398,Jiana,580,18,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS110-XXL,JOPLCS110,XXL,Cord Set,Jaipur,318,398,Jiana,580,14,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS111-L,JOPLCS111,L,Cord Set,Jaipur,410,464,Jiana,580,27,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS111-M,JOPLCS111,M,Cord Set,Jaipur,410,464,Jiana,580,23,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS111-S,JOPLCS111,S,Cord Set,Jaipur,410,464,Jiana,580,45,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS111-XL,JOPLCS111,XL,Cord Set,Jaipur,410,464,Jiana,580,19,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS111-XS,JOPLCS111,XS,Cord Set,Jaipur,410,464,Jiana,580,40,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS111-XXL,JOPLCS111,XXL,Cord Set,Jaipur,410,464,Jiana,580,28,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLCS112-L,JOPLCS112,L,Cord Set,Jaipur,364,464,Jiana,580,23,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-M,JOPLCS112,M,Cord Set,Jaipur,364,464,Jiana,580,4,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-S,JOPLCS112,S,Cord Set,Jaipur,364,464,Jiana,580,5,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-XL,JOPLCS112,XL,Cord Set,Jaipur,364,464,Jiana,580,21,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-XS,JOPLCS112,XS,Cord Set,Jaipur,364,464,Jiana,580,19,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-XXL,JOPLCS112,XXL,Cord Set,Jaipur,364,464,Jiana,580,29,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS113-L,JOPLCS113,L,Cord Set,Jaipur,360,464,Jiana,580,35,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-M,JOPLCS113,M,Cord Set,Jaipur,360,464,Jiana,580,0,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-S,JOPLCS113,S,Cord Set,Jaipur,360,464,Jiana,580,44,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XL,JOPLCS113,XL,Cord Set,Jaipur,360,464,Jiana,580,39,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XS,JOPLCS113,XS,Cord Set,Jaipur,360,464,Jiana,580,37,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XXL,JOPLCS113,XXL,Cord Set,Jaipur,360,464,Jiana,580,30,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLDI1019,JOPLDI1019,Free,Dress Material,Surat,190,235,,294,3,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1020,JOPLDI1020,Free,Dress Material,Surat,190,235,,294,4,2,1,0,28-Jul-23,,Platinum C,Platinum C
,,JOPLDI1021,JOPLDI1021,Free,Dress Material,Surat,190,224,,294,120,0,0,0,11-Apr-24,,Diamond C,Diamond C
,,JOPLDI1022,JOPLDI1022,Free,Dress Material,Surat,190,235,,294,56,0,0,0,11-Apr-24,,Platinum B,Platinum B
,,JOPLDI1024,JOPLDI1024,Free,Dress Material,Surat,190,235,,294,51,19,0,0,28-Jul-23,,Platinum A,Platinum A
